Name,Price
Ford Figo Diesel Titanium,15.500859797289296
Maruti SX4 VDI,11.824835092672231
Hyundai Creta 1.6 SX Option,7.6270085565745465
Jeep Compass 2.0 Limited 4X4,6.246078443882486
Maruti Swift Dzire VDI,13.124804844854783
Audi A6 2011-2015 2.0 TDI,3.5387971944506935
BMW 5 Series 520d Luxury Line,13.829059374659266
Maruti Wagon R LX DUO BSIII,4.783580089661637
Toyota Fortuner 4x2 4 Speed AT,2.9755696280956565
Honda CR-V 2.0 AT,3.0711667122173143
Mercedes-Benz GLA Class 200 CDI SPORT,12.391683881053073
Honda Jazz 1.2 V i VTEC,3.1751126203472313
Volkswagen Vento 1.5 TDI Highline,11.832129858874605
Hyundai Grand i10 CRDi Magna,16.53466645195502
Volkswagen Polo 1.2 MPI Comfortline,2.896061642074224
Audi A4 3.0 TDI Quattro,3.627394458482974
Honda Brio E MT,3.2142372856264285
Mercedes-Benz E-Class E400 Cabriolet,3.457119000157695
Honda City 1.5 S MT,2.7186112525126966
Volkswagen Jetta 2013-2015 2.0L TDI Highline AT,8.961052323533968
Tata New Safari EX 4x2,5.687031194454007
Hyundai Santro Xing XL,3.394086535999724
Honda City i DTEC VX,22.49747005442278
Nissan Sunny 2011-2014 Diesel XL,2.7764626663218412
BMW 3 Series 320d Luxury Line,7.416110270842602
Maruti Swift Dzire VXI,12.847248508091173
Maruti Baleno LXI,3.4745234824738165
Hyundai Grand i10 1.2 CRDi Sportz Option,8.063787317604762
Audi A4 2.0 TDI,2.584031269107332
Maruti Wagon R LXI CNG,2.5625751746084475
Toyota Etios Cross 1.4L VD,13.404257421891652
Tata Indigo eCS eLX BS IV,6.660585977284081
Hyundai Creta 1.6 VTVT S,2.7765394269254764
Toyota Fortuner 4x2 4 Speed AT,2.2384582173309084
Jeep Compass 2.0 Limited Option 4X4,3.258225134354376
Toyota Etios Liva V,3.577516432389839
Toyota Innova 2.5 V Diesel 7-seater,7.93190163523114
Maruti Wagon R VXI 1.2,5.425996518588355
Volkswagen Vento Petrol Highline,3.8212252357168213
Honda City ZX EXi,5.644041823446853
Mitsubishi Pajero Sport 4X4,4.80703783196362
Mercedes-Benz New C-Class 220 CDI AT,2.852327287641247
Maruti Wagon R VXI BS IV,10.386052263141965
Chevrolet Beat LT,6.704602410194772
Mitsubishi Pajero Sport 4X4,2.760070883271841
BMW 5 Series 525d Sedan,5.627092608471683
Hyundai Grand i10 AT Asta,10.558378638801733
Maruti Swift Dzire VDI,9.213336866115814
Maruti Baleno Zeta 1.2,3.623508562618245
BMW X1 sDrive 20d Sportline,2.970476133845189
Maruti Ciaz 1.4 Zeta,7.534046212659134
Land Rover Discovery Sport TD4 HSE 7S,4.272404274102412
Mercedes-Benz CLA 200 Sport Edition,4.445330406887825
Honda Amaze S i-Vtech,3.071918092277481
Hyundai Elantra CRDi SX AT,2.815433058559344
Mercedes-Benz New C-Class C 220d Avantgarde Edition C,3.687999166341961
Hyundai Accent GLE 1,3.493317473914752
Hyundai i20 Sportz 1.4 CRDi,7.8191649510934305
Toyota Innova 2.5 G4 Diesel 8-seater,8.353947874798656
BMW 5 Series 520d Luxury Line,7.742801095806422
Honda Brio S MT,7.71370027309594
Volkswagen Ameo 1.2 MPI Comfortline,7.509175696545933
Maruti Vitara Brezza ZDi Plus Dual Tone,8.476740039405813
Mercedes-Benz E-Class 2009-2013 E350 Petrol,8.721143587209218
Tata Nexon 1.5 Revotorq XZ Plus Dual Tone,7.4865037759324995
Volkswagen Polo 1.5 TDI Highline,3.767294721385012
Tata Nexon 1.5 Revotorq XZ Plus Dual Tone,6.784146636430753
Ford Endeavour XLT TDCi 4X2,2.316616183760841
Hyundai i20 1.4 CRDi Magna,16.260861702883915
Volkswagen Vento 1.5 TDI Comfortline,5.177206918490395
Hyundai i20 Sportz Diesel,3.4558133888064275
Renault KWID RXL,6.781047873509018
Maruti Wagon R CNG LXI,2.6905057243280583
Hyundai Grand i10 AT Asta,7.844166617072904
Hyundai Santa Fe 4x4 AT,3.1796111412427677
Jaguar XF 2.2 Litre Luxury,5.469901927735996
Toyota Camry Hybrid,3.5839046951517406
Chevrolet Sail LT ABS,3.2316561260324215
Hyundai Santro Xing XL eRLX Euro III,14.673155014682532
Honda Jazz 1.2 V CVT i VTEC,3.2817910078286077
Maruti Wagon R VXI,3.4240344977398367
Maruti Ritz ZDi,2.582602241275692
Maruti Alto 800 2016-2019 CNG LXI,3.220269502527994
Skoda Laura 1.8 TSI Ambiente,6.1983593893709745
Volkswagen Vento Diesel Trendline,11.440821666769864
Maruti Zen Estilo LXI Green (CNG),3.4817856370037488
Hyundai i10 Sportz,3.422719967382412
BMW X5 xDrive 30d,4.06850395457354
Mercedes-Benz SLC 43 AMG,9.267254985772722
Audi Q7 35 TDI Quattro Technology,4.287762230062243
Honda City i VTEC CVT VX,6.733743226703367
Audi A4 35 TDI Premium Plus,3.5081457163879737
Maruti Ertiga VDI,5.102672137020363
Volvo XC60 D5,12.511193627104346
BMW X6 xDrive 40d M Sport,5.056470692593375
Hyundai i20 Asta,19.07288757582409
Ford Endeavour 3.2 Titanium AT 4X4,2.9345700997873645
Nissan Micra XV CVT,10.23308330424504
Hyundai EON Era Plus,5.5858994782475575
Fiat Punto 1.3 Emotion,6.977106163395356
Renault KWID RXT,11.691238958909993
Mahindra XUV500 W8 4WD,5.907764491438642
Maruti Wagon R VXI,7.8578318565915355
Audi Q3 2.0 TDI,5.716653641745426
Hyundai Creta 1.6 SX Plus Dual Tone Petrol,5.418792121828235
Maruti Celerio CNG VXI MT,2.4933145739172984
Volkswagen Polo Diesel Highline 1.2L,2.480812066280995
Toyota Innova 2.5 V Diesel 7-seater,7.00053909113149
Hyundai Santro Xing GLS LPG,4.373151221450671
BMW 5 Series 523i Sedan,3.2900661544269707
Maruti Swift VDI BSIV,4.882096417953323
Tata Tiago 1.2 Revotron XZ,3.5762724783745137
Honda Civic 2010-2013 1.8 V MT,2.6087052730054623
Toyota Fortuner 2.8 2WD AT,9.914862625779984
Volkswagen Polo 1.2 MPI Comfortline,17.06571166850138
BMW 5 Series 2013-2017 530d M Sport,9.98164581058767
Toyota Innova Crysta 2.8 GX AT 8S,6.891984648221369
Toyota Fortuner 2.8 2WD AT,2.488495625804683
Maruti Estilo LXI,4.973880389115219
Tata Bolt Quadrajet XE,6.383840864673812
Hyundai Creta 1.6 SX Plus Diesel,7.384540349568824
Maruti Ciaz ZDi Plus SHVS,8.07421996564816
Ford Ikon 1.3 Flair,2.7731989351005697
Maruti Swift Dzire VXI,2.932363138653191
Chevrolet Optra 1.6 LS,3.2089586157024836
Toyota Corolla Altis G,8.692203510663676
Hyundai i10 Sportz,7.5253532697998144
Audi A6 2011-2015 2.0 TDI Premium Plus,9.83859786527325
Mercedes-Benz B Class B200 CDI,6.801828995898427
Hyundai Accent GLE,3.039484988940472
Hyundai Creta 1.6 CRDi AT SX Plus,8.164092547712512
Mahindra Ssangyong Rexton RX5,4.930539340854276
Maruti Alto K10 2010-2014 VXI,3.565625155627742
Volkswagen Vento Diesel Highline,19.31609740980348
Hyundai EON D Lite Plus,3.604308618861083
Maruti SX4 Vxi BSIII,15.353241132133387
Hyundai i20 1.4 Sportz,2.8108879186020155
Volkswagen Polo Diesel Comfortline 1.2L,3.123730315036601
Mercedes-Benz CLA 200 CDI Sport,16.278432368956665
Mercedes-Benz New C-Class 220 CDI AT,3.172517052862333
Toyota Innova Crysta 2.8 GX AT,6.308557795423067
Toyota Etios Liva GD,4.198452814478622
Honda City 1.5 EXI,4.333254845625226
Maruti Ciaz VXi Plus,8.32472989057137
Maruti Wagon R VXI,4.223363512693141
Toyota Qualis Fleet A3,6.597739487713242
Maruti SX4 Vxi BSIII,18.179852201484
Chevrolet Cruze LTZ AT,7.480641228428519
Ford EcoSport 1.5 Ti VCT AT Titanium,5.1807271368914645
Chevrolet Enjoy 1.3 TCDi LS 8,2.7258992673826627
Mahindra XUV500 W10 2WD,2.2669301713714423
Maruti Wagon R VXI 1.2,5.545819150376967
Chevrolet Beat Diesel LS,5.456311816755933
